"Id","MSZoning","LotFrontage","Neighborhood","Condition1","BldgType","OverallQual","YearBuilt","YearRemodAdd","BsmtFinSF1","TotalBsmtSF","Heating","CentralAir","Electrical","X1stFlrSF","GrLivArea","BsmtFullBath","FullBath","BedroomAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","MoSold","YrSold","SalePrice","Electrical_imp","TotalBaths","CentralAirnum","HeatingQCnum"
1,"RL",65,"CollgCr","Norm","1Fam",7,2003,2003,706,856,"GasA","Y","SBrkr",856,1710,1,2,3,8,0,2,548,0,61,2,2008,208500,FALSE,4,2,1
2,"RL",80,"Veenker","Feedr","1Fam",6,1976,1976,978,1262,"GasA","Y","SBrkr",1262,1262,0,2,3,6,1,2,460,298,0,5,2007,181500,FALSE,3,2,1
3,"RL",68,"CollgCr","Norm","1Fam",7,2001,2002,486,920,"GasA","Y","SBrkr",920,1786,1,2,3,6,1,2,608,0,42,9,2008,223500,FALSE,4,2,1
4,"RL",60,"Crawfor","Norm","1Fam",7,1915,1970,216,756,"GasA","Y","SBrkr",961,1717,1,1,3,7,1,3,642,0,35,2,2006,140000,FALSE,2,2,2
5,"RL",84,"NoRidge","Norm","1Fam",8,2000,2000,655,1145,"GasA","Y","SBrkr",1145,2198,1,2,4,9,1,3,836,192,84,12,2008,250000,FALSE,4,2,1
6,"RL",85,"Mitchel","Norm","1Fam",5,1993,1995,732,796,"GasA","Y","SBrkr",796,1362,1,1,1,5,0,2,480,40,30,10,2009,143000,FALSE,3,2,1
7,"RL",75,"Somerst","Norm","1Fam",8,2004,2005,1369,1686,"GasA","Y","SBrkr",1694,1694,1,2,3,7,1,2,636,255,57,8,2007,307000,FALSE,3,2,1
8,"RL",80,"NWAmes","PosN","1Fam",7,1973,1973,859,1107,"GasA","Y","SBrkr",1107,2090,1,2,3,7,2,2,484,235,204,11,2009,200000,FALSE,4,2,1
9,"RM",51,"OldTown","Artery","1Fam",7,1931,1950,0,952,"GasA","Y","FuseF",1022,1774,0,2,2,8,2,2,468,90,0,4,2008,129900,FALSE,2,2,2
10,"RL",50,"BrkSide","Artery","2fmCon",5,1939,1950,851,991,"GasA","Y","SBrkr",1077,1077,1,1,2,5,2,1,205,0,4,1,2008,118000,FALSE,2,2,1
11,"RL",70,"Sawyer","Norm","1Fam",5,1965,1965,906,1040,"GasA","Y","SBrkr",1040,1040,1,1,3,5,0,1,384,0,0,2,2008,129500,FALSE,2,2,1
13,"RL",71,"Sawyer","Norm","1Fam",5,1962,1962,737,912,"GasA","Y","SBrkr",912,912,1,1,2,4,0,1,352,140,0,9,2008,144000,FALSE,2,2,3
14,"RL",91,"CollgCr","Norm","1Fam",7,2006,2007,0,1494,"GasA","Y","SBrkr",1494,1494,0,2,3,7,1,3,840,160,33,8,2007,279500,FALSE,2,2,1
15,"RL",73,"NAmes","Norm","1Fam",6,1960,1960,733,1253,"GasA","Y","SBrkr",1253,1253,1,1,2,5,1,1,352,0,213,5,2008,157000,FALSE,3,2,3
16,"RM",51,"BrkSide","Norm","1Fam",7,1929,2001,0,832,"GasA","Y","FuseA",854,854,0,1,2,5,0,2,576,48,112,7,2007,132000,FALSE,1,2,1
17,"RL",73,"NAmes","Norm","1Fam",6,1970,1970,578,1004,"GasA","Y","SBrkr",1004,1004,1,1,2,5,1,2,480,0,0,3,2010,149000,FALSE,2,2,1
18,"RL",72,"Sawyer","Norm","Duplex",4,1967,1967,0,0,"GasA","Y","SBrkr",1296,1296,0,2,2,6,0,2,516,0,0,10,2006,90000,FALSE,2,2,3
19,"RL",66,"SawyerW","RRAe","1Fam",5,2004,2004,646,1114,"GasA","Y","SBrkr",1114,1114,1,1,3,6,0,2,576,0,102,6,2008,159000,FALSE,3,2,1
20,"RL",70,"NAmes","Norm","1Fam",5,1958,1965,504,1029,"GasA","Y","SBrkr",1339,1339,0,1,3,6,0,1,294,0,0,5,2009,139000,FALSE,1,2,3
21,"RL",101,"NridgHt","Norm","1Fam",8,2005,2006,0,1158,"GasA","Y","SBrkr",1158,2376,0,3,4,9,1,3,853,240,154,11,2006,325300,FALSE,4,2,1
22,"RM",57,"IDOTRR","Norm","1Fam",7,1930,1950,0,637,"GasA","Y","FuseF",1108,1108,0,1,3,6,1,1,280,0,0,6,2007,139400,FALSE,1,2,1
23,"RL",75,"CollgCr","Norm","1Fam",8,2002,2002,0,1777,"GasA","Y","SBrkr",1795,1795,0,2,3,7,1,2,534,171,159,9,2008,230000,FALSE,2,2,1
24,"RM",44,"MeadowV","Norm","TwnhsE",5,1976,1976,840,1040,"GasA","Y","SBrkr",1060,1060,1,1,3,6,1,2,572,100,110,6,2007,129900,FALSE,2,2,3
25,"RL",71,"Sawyer","Norm","1Fam",5,1968,2001,188,1060,"GasA","Y","SBrkr",1060,1060,1,1,3,6,1,1,270,406,90,5,2010,154000,FALSE,2,2,1
26,"RL",110,"NridgHt","Norm","1Fam",8,2007,2007,0,1566,"GasA","Y","SBrkr",1600,1600,0,2,3,7,1,3,890,0,56,7,2009,256300,FALSE,2,2,1
27,"RL",60,"NAmes","Norm","1Fam",5,1951,2000,234,900,"GasA","Y","SBrkr",900,900,0,1,3,5,0,2,576,222,32,5,2010,134800,FALSE,2,2,3
28,"RL",98,"NridgHt","Norm","1Fam",8,2007,2008,1218,1704,"GasA","Y","SBrkr",1704,1704,1,2,3,7,1,3,772,0,50,5,2010,306000,FALSE,3,2,1
29,"RL",47,"NAmes","Norm","1Fam",5,1957,1997,1277,1484,"GasA","Y","SBrkr",1600,1600,1,1,2,6,2,1,319,288,258,12,2006,207500,FALSE,2,2,3
30,"RM",60,"BrkSide","Feedr","1Fam",4,1927,1950,0,520,"GasA","N","SBrkr",520,520,0,1,1,4,0,1,240,49,0,5,2008,68500,FALSE,1,1,4
31,"C (all)",50,"IDOTRR","Feedr","1Fam",4,1920,1950,0,649,"GasA","N","SBrkr",649,1317,0,1,3,6,0,1,250,0,54,7,2008,40000,FALSE,1,1,3
32,"RL",71,"Sawyer","Norm","1Fam",5,1966,2006,0,1228,"GasA","Y","SBrkr",1228,1228,0,1,3,6,0,1,271,0,65,6,2008,149350,FALSE,2,2,2
33,"RL",85,"CollgCr","Norm","1Fam",8,2007,2007,0,1234,"GasA","Y","SBrkr",1234,1234,0,2,3,7,0,2,484,0,30,1,2008,179900,FALSE,2,2,1
34,"RL",70,"NAmes","Norm","1Fam",5,1959,1959,1018,1398,"GasA","Y","SBrkr",1700,1700,0,1,4,6,1,2,447,0,38,4,2010,165500,FALSE,3,2,2
35,"RL",60,"NridgHt","Norm","TwnhsE",9,2005,2005,1153,1561,"GasA","Y","SBrkr",1561,1561,1,2,2,6,1,2,556,203,47,8,2007,277500,FALSE,3,2,1
36,"RL",108,"NridgHt","Norm","1Fam",8,2004,2005,0,1117,"GasA","Y","SBrkr",1132,2452,0,3,4,9,1,3,691,113,32,9,2006,309000,FALSE,4,2,1
37,"RL",112,"CollgCr","Norm","1Fam",5,1994,1995,0,1097,"GasA","Y","SBrkr",1097,1097,0,1,3,6,0,2,672,392,64,6,2009,145000,FALSE,2,2,1
38,"RL",74,"NAmes","Norm","1Fam",5,1954,1990,1213,1297,"GasA","Y","SBrkr",1297,1297,0,1,3,5,1,2,498,0,0,10,2009,153000,FALSE,2,2,2
39,"RL",68,"NAmes","Norm","1Fam",5,1953,2007,731,1057,"GasA","Y","SBrkr",1057,1057,1,1,3,5,0,1,246,0,52,1,2010,109000,FALSE,2,2,3
40,"RL",65,"Edwards","Norm","Duplex",4,1955,1955,0,0,"GasA","N","FuseP",1152,1152,0,2,2,6,0,0,0,0,0,6,2008,82000,FALSE,2,1,3
41,"RL",84,"NAmes","Norm","1Fam",6,1965,1965,643,1088,"GasA","Y","SBrkr",1324,1324,0,2,3,6,1,2,440,0,138,12,2006,160000,FALSE,2,2,1
42,"RL",115,"Timber","Norm","1Fam",5,1959,1959,967,1350,"GasA","Y","SBrkr",1328,1328,0,1,2,5,2,1,308,0,104,7,2007,170000,FALSE,3,2,2
43,"RL",66.5,"SawyerW","Norm","1Fam",5,1983,1983,747,840,"GasA","Y","SBrkr",884,884,1,1,2,5,0,2,504,240,0,12,2007,144000,FALSE,2,2,2
44,"RL",70,"CollgCr","Norm","1Fam",5,1975,1980,280,938,"GasA","Y","SBrkr",938,938,1,1,3,5,0,1,308,145,0,7,2008,130250,FALSE,2,2,3
45,"RL",70,"NAmes","Norm","1Fam",5,1959,1959,179,1150,"GasA","Y","FuseA",1150,1150,1,1,3,6,0,1,300,0,0,5,2006,141000,FALSE,2,2,1
46,"RL",61,"NridgHt","Norm","TwnhsE",9,2005,2005,456,1752,"GasA","Y","SBrkr",1752,1752,1,2,2,6,1,2,576,196,82,2,2010,319900,FALSE,3,2,1
47,"RL",48,"Mitchel","Norm","1Fam",7,2003,2003,1351,1434,"GasA","Y","SBrkr",1518,2149,1,1,1,6,1,2,670,168,43,8,2009,239686,FALSE,3,2,1
48,"FV",84,"Somerst","Norm","1Fam",8,2006,2006,24,1656,"GasA","Y","SBrkr",1656,1656,0,2,3,7,0,3,826,0,146,7,2007,249700,FALSE,2,2,1
49,"RM",33,"OldTown","Norm","2fmCon",4,1920,2008,0,736,"GasA","Y","SBrkr",736,1452,0,2,2,8,0,0,0,0,0,6,2009,113000,FALSE,2,2,2
50,"RL",66,"Sawyer","Norm","1Fam",5,1966,1966,763,955,"GasA","Y","SBrkr",955,955,1,1,3,6,0,1,386,0,0,1,2007,127000,FALSE,2,2,1
51,"RL",65,"Gilbert","Norm","1Fam",6,1997,1997,182,794,"GasA","Y","SBrkr",794,1470,0,2,3,6,0,2,388,0,75,7,2007,177000,FALSE,3,2,2
52,"RM",52,"BrkSide","Norm","1Fam",6,1934,1950,0,816,"GasA","Y","SBrkr",816,1176,0,1,3,6,1,2,528,112,0,9,2006,114500,FALSE,1,2,3
53,"RM",110,"IDOTRR","RRNn","Duplex",5,1963,1963,104,816,"GasA","N","SBrkr",816,816,1,1,2,5,0,2,516,106,0,5,2010,110000,FALSE,2,1,3
55,"RL",60,"NAmes","Norm","1Fam",5,1955,1955,384,384,"GasA","Y","SBrkr",1360,1360,0,1,3,6,1,2,572,0,50,2,2007,130000,FALSE,1,2,3
56,"RL",100,"NAmes","Norm","1Fam",6,1964,1964,490,1425,"GasA","Y","SBrkr",1425,1425,0,2,3,7,1,2,576,0,0,7,2008,180500,FALSE,2,2,2
57,"FV",24,"Somerst","Norm","Twnhs",8,1999,2000,649,970,"GasA","Y","SBrkr",983,1739,1,2,3,7,0,2,480,115,0,8,2009,172500,FALSE,4,2,1
58,"RL",89,"CollgCr","Norm","1Fam",7,2004,2004,0,860,"GasA","Y","SBrkr",860,1720,0,2,3,7,0,2,565,0,70,8,2006,196500,FALSE,3,2,1
60,"RL",60,"CollgCr","Norm","1Fam",5,1972,1972,632,780,"GasA","Y","SBrkr",780,780,0,1,2,4,0,1,352,196,0,1,2008,124900,FALSE,1,2,1
61,"RL",63,"SawyerW","RRAe","1Fam",6,2004,2004,941,1158,"GasA","Y","SBrkr",1158,1158,1,1,3,5,0,2,576,0,50,5,2006,158000,FALSE,3,2,1
62,"RM",60,"IDOTRR","Norm","1Fam",5,1920,1996,0,530,"GasA","N","SBrkr",581,1111,0,1,3,6,0,1,288,0,0,3,2007,101000,FALSE,1,1,3
63,"RL",44,"NridgHt","Norm","TwnhsE",8,2006,2006,24,1370,"GasA","Y","SBrkr",1370,1370,0,2,2,6,1,2,484,120,49,10,2007,202500,FALSE,2,2,1
64,"RM",50,"OldTown","RRAn","1Fam",7,1921,1950,0,576,"GasA","Y","SBrkr",902,1710,0,2,3,9,0,2,480,12,11,4,2010,140000,FALSE,2,2,2
65,"RL",70,"CollgCr","Norm","1Fam",7,1997,1998,739,1057,"GasA","Y","SBrkr",1057,2034,1,2,3,8,0,2,645,576,36,2,2009,219500,FALSE,4,2,1
66,"RL",76,"NridgHt","Norm","1Fam",8,2004,2005,0,1143,"GasA","Y","SBrkr",1143,2473,0,2,4,9,1,3,852,192,151,10,2007,317000,FALSE,3,2,1
67,"RL",73,"NAmes","PosA","1Fam",7,1970,1989,912,1947,"GasA","Y","SBrkr",2207,2207,1,2,3,7,1,2,576,301,0,7,2010,180000,FALSE,3,2,3
68,"RL",72,"CollgCr","Norm","1Fam",7,2003,2003,1013,1453,"GasA","Y","SBrkr",1479,1479,1,2,3,7,0,2,558,144,29,6,2007,226000,FALSE,3,2,1
69,"RM",47,"OldTown","Artery","1Fam",4,1945,1950,0,747,"GasA","Y","SBrkr",747,747,0,1,2,4,0,1,220,0,0,6,2010,80000,FALSE,1,2,3
70,"RL",81,"ClearCr","Norm","1Fam",7,1953,1953,603,1304,"GasW","Y","SBrkr",1304,2287,0,2,3,7,1,2,667,0,21,7,2006,225000,FALSE,2,2,3
71,"RL",95,"NAmes","Norm","1Fam",7,1973,1973,1880,2223,"GasA","Y","SBrkr",2223,2223,1,2,3,8,2,2,516,300,0,2,2007,244000,FALSE,3,2,1
72,"RL",69,"Mitchel","Norm","1Fam",4,1982,2006,565,845,"GasA","Y","SBrkr",845,845,1,1,2,4,0,2,360,0,0,6,2007,129500,FALSE,2,2,3
73,"RL",74,"Gilbert","Norm","1Fam",7,1998,1998,0,832,"GasA","Y","SBrkr",885,1718,0,2,3,7,1,2,427,0,94,12,2009,185000,FALSE,3,2,2
74,"RL",85,"NAmes","Norm","1Fam",5,1954,2003,320,1086,"GasA","Y","SBrkr",1086,1086,1,1,3,6,0,2,490,0,0,5,2010,144900,FALSE,2,2,2
75,"RM",60,"OldTown","Norm","1Fam",3,1915,1950,0,840,"GasA","N","SBrkr",840,1605,0,2,3,8,0,1,379,0,0,5,2010,107400,FALSE,2,1,2
76,"RM",21,"MeadowV","Norm","Twnhs",4,1973,1973,462,462,"GasA","Y","SBrkr",526,988,1,1,2,5,0,1,297,120,101,11,2009,91000,FALSE,2,2,3
77,"RL",73,"NAmes","Norm","1Fam",4,1956,1956,228,952,"GasA","Y","FuseA",952,952,0,1,2,4,0,1,283,0,0,4,2008,135750,FALSE,1,2,1
78,"RM",50,"BrkSide","Norm","1Fam",5,1948,2001,336,672,"GasA","Y","SBrkr",1072,1285,1,1,2,6,0,1,240,0,0,1,2008,127000,FALSE,2,2,3
79,"RL",72,"Sawyer","Norm","Duplex",4,1968,1968,0,1768,"GasA","N","SBrkr",1768,1768,0,2,4,8,0,0,0,0,0,4,2010,136500,FALSE,2,1,3
80,"RM",60,"OldTown","Norm","1Fam",5,1910,1981,0,440,"GasA","Y","SBrkr",682,1230,0,1,2,5,0,2,440,74,0,5,2009,110000,FALSE,2,2,2
81,"RL",100,"NAmes","Norm","1Fam",6,1968,1968,448,896,"GasA","Y","SBrkr",1182,2142,0,2,4,8,1,1,509,0,72,6,2009,193500,FALSE,3,2,3
82,"RM",32,"Mitchel","Norm","TwnhsE",6,1998,1998,1201,1237,"GasA","Y","SBrkr",1337,1337,1,2,2,5,0,2,405,0,199,3,2006,153500,FALSE,3,2,1
83,"RL",78,"Somerst","Norm","1Fam",8,2007,2007,33,1563,"GasA","Y","SBrkr",1563,1563,0,2,3,6,1,3,758,144,99,10,2008,245000,FALSE,2,2,1
84,"RL",80,"NAmes","Norm","1Fam",5,1960,1960,0,1065,"GasA","Y","SBrkr",1065,1065,0,1,3,6,0,2,461,74,0,7,2007,126500,FALSE,2,2,2
